time,coin,sz,side,payment,rate
08/02/2026 15:00:00,ETH,0.047,Short,0.000055,5.53e-7
08/02/2026 17:00:00,MEGA,83,Short,0.000142,0.0000125
08/02/2026 19:00:00,MEGA,33,Long,-0.000057,0.0000125
08/02/2026 21:00:00,MEGA,526,Short,0.000925,0.0000125
10/02/2026 00:00:00,HYPE,3.5,Long,-0.001374,0.0000125
10/02/2026 01:00:00,HYPE,0.46,Short,0.00018,0.0000125
10/02/2026 02:00:00,HYPE,4.91,Long,-0.001909,0.0000125
10/02/2026 03:00:00,HYPE,3.24,Long,-0.001275,0.0000125
10/02/2026 04:00:00,HYPE,6.43,Long,-0.00249,0.0000125
10/02/2026 05:00:00,HYPE,9.59,Long,-0.003688,0.0000125
10/02/2026 06:00:00,HYPE,4.36,Long,-0.001682,0.0000125
10/02/2026 07:00:00,HYPE,0.61,Short,0.000231,0.0000125
10/02/2026 11:00:00,HYPE,1.61,Short,0.000605,0.0000125
10/02/2026 12:00:00,HYPE,1.29,Short,0.000476,0.0000125
10/02/2026 13:00:00,HYPE,3.54,Long,-0.001307,0.0000125
10/02/2026 18:00:00,HYPE,0.51,Short,0.000192,0.0000125
10/02/2026 19:00:00,HYPE,2.47,Short,0.000937,0.0000125
10/02/2026 22:00:00,GALA,35013,Short,0.001734,0.0000125
10/02/2026 22:00:00,HYPE,6.75,Long,-0.002492,0.0000125
10/02/2026 23:00:00,HYPE,0.85,Long,-0.000313,0.0000125
11/02/2026 00:00:00,HYPE,2.56,Long,-0.000929,0.0000125
11/02/2026 01:00:00,HYPE,2.56,Long,-0.000922,0.0000125
11/02/2026 04:00:00,HYPE,5.16,Long,-0.00186,0.0000125
11/02/2026 05:00:00,HYPE,5.16,Long,-0.001856,0.0000125
11/02/2026 09:00:00,HYPE,2.61,Short,0.000937,0.0000125
11/02/2026 16:00:00,AXS,94.5,Long,0.205819,-0.0014796107
11/02/2026 17:00:00,AXS,47.5,Long,0.092881,-0.0013176547
11/02/2026 18:00:00,AXS,47.1,Long,0.076233,-0.0010988138
11/02/2026 19:00:00,AXS,47.1,Long,0.088033,-0.0012573629
11/02/2026 20:00:00,AXS,47.1,Long,0.08766,-0.0012480962
11/02/2026 21:00:00,AXS,47.1,Long,0.09357,-0.0013230072
11/02/2026 22:00:00,AXS,47.1,Long,0.079431,-0.0011227954
11/02/2026 23:00:00,AXS,45.8,Long,0.100829,-0.0014286341
12/02/2026 00:00:00,AXS,45.8,Long,0.105276,-0.0015206517
12/02/2026 01:00:00,AXS,45.8,Long,0.127833,-0.0018042181
12/02/2026 02:00:00,AXS,46.7,Long,0.111077,-0.001593123
12/02/2026 03:00:00,AXS,46.7,Long,0.094316,-0.0013671125
12/02/2026 04:00:00,AXS,47.5,Long,0.089427,-0.0012682341
12/02/2026 05:00:00,AXS,47.5,Long,0.073524,-0.0010346777
12/02/2026 06:00:00,AXS,47.5,Long,0.065529,-0.0009302567
12/02/2026 07:00:00,AXS,47.5,Long,0.068356,-0.0009839848
12/02/2026 08:00:00,AXS,47.5,Long,0.069361,-0.0009970979
12/02/2026 09:00:00,0G,235,Long,1.123372,-0.006446811
12/02/2026 11:00:00,YZY,550,Long,0.146468,-0.0008066216
12/02/2026 12:00:00,YZY,550,Long,0.179984,-0.0009924015
12/02/2026 13:00:00,0G,277,Long,0.393223,-0.0021546346
12/02/2026 14:00:00,0G,276,Long,0.238921,-0.0013441907